acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,w,linear_vel_x,linear_vel_y,angular_vel_z,orientation,latitude,longitude,altitude
-0.039746,0.0617,0.991033,-0.111719,-0.082025,0.05859,0.008522,-0.941308,2.687399,9.565777,1.35,-0.001,0.0,1.0,-30.061843763,-51.175915148,31.6482
-0.038068,0.057269,0.991234,-0.110913,0.0,0.001065,0.02024,0.039521,-0.461672,9.407694,1.46,-0.001,0.0,1.0,-30.061844589,-51.175915098,31.6215
-0.036356,0.053476,0.991738,-0.110376,0.070308,-0.01811,-0.001065,0.34311,-1.266455,10.291518,1.57,-0.001,0.0,1.0,-30.061845502,-51.175915064,31.6348
-0.036456,0.052469,0.991671,-0.110745,-0.076699,-0.033023,-0.001065,0.353889,3.590984,9.889127,1.68,-0.001,0.0,1.0,-30.061846411,-51.175915189,31.6338
-0.03602,0.055624,0.99157,-0.110544,0.082025,0.001065,-0.010653,0.519157,0.068263,9.605297,1.79,-0.001,0.0,1.0,-30.061847301,-51.175915112,31.6197
-0.034174,0.049112,0.992006,-0.11098,0.0,-0.011718,0.005326,0.813765,-2.295786,9.840624,1.9,-0.001,0.0,1.0,-30.061848207,-51.175915114,31.636
-0.031924,0.044614,0.992309,-0.11098,-0.093743,-0.008522,0.037284,1.314957,1.726331,10.232237,2.01,-0.001,0.0,1.0,-30.061849082,-51.17591511,31.6301
-0.032394,0.042432,0.992443,-0.11051,0.029827,-0.009587,0.01811,-0.373649,-6.425687,11.380131,2.12,-0.001,0.0,1.0,-30.061850016,-51.175915062,31.6446
-0.033166,0.049582,0.992309,-0.108563,0.208792,-0.037284,-0.045806,-0.932326,-1.295197,11.05678,2.23,-0.001,-0.008918,0.99996,-30.061850958,-51.175915118,31.6419
-0.033569,0.056262,0.992074,-0.107153,-0.036219,0.036219,-0.017044,-0.008982,1.029331,10.095712,2.339,-0.001,0.0,1.0,-30.061851798,-51.175915047,31.6344
-0.038168,0.056094,0.99204,-0.10618,-0.280165,0.066046,-0.041545,0.470654,2.678417,10.350799,2.559,-0.001,0.0,1.0,-30.061853665,-51.175915066,31.648
-0.040485,0.047333,0.992409,-0.105911,-0.009587,0.014914,-0.008522,-0.558677,-1.196396,10.605887,2.669,-0.001,0.0,1.0,-30.061854672,-51.175914997,31.622
-0.042969,0.044815,0.992476,-0.105374,-0.002131,-0.009587,0.023436,-0.167064,0.873046,9.662782,2.779,-0.001,0.0,1.0,-30.061855621,-51.175914983,31.6273
-0.042566,0.047198,0.992342,-0.105911,-0.010653,-0.015979,-0.011718,0.264069,3.001768,10.419062,2.889,-0.001,0.0,1.0,-30.061856559,-51.175914952,31.6486
-0.042331,0.047736,0.992376,-0.105575,-0.034088,-0.011718,-0.002131,0.745502,0.411373,9.526256,2.999,-0.001,0.0,1.0,-30.061857514,-51.175914965,31.632
-0.043204,0.050958,0.99204,-0.106079,0.02024,-0.009587,-0.005326,-0.637718,0.334129,10.478343,3.109,-0.001,0.0,1.0,-30.061858455,-51.175914927,31.6424
-0.040149,0.05163,0.992141,-0.105878,0.026632,-0.033023,-0.011718,1.02035,0.529935,10.025653,3.219,-0.001,0.0,1.0,-30.061859413,-51.17591492,31.6609
-0.039578,0.05126,0.992208,-0.10628,-0.107592,-0.008522,-0.011718,-0.912566,4.189181,10.340021,3.328,-0.001,0.0,1.0,-30.061860223,-51.175914862,31.6407
-0.039511,0.047467,0.992376,-0.106616,-0.155529,-0.019175,-0.01811,-0.32335,1.864653,10.880734,3.438,-0.001,-0.008918,0.99996,-30.061861103,-51.175914857,31.6234
-0.038303,0.047232,0.99251,-0.10581,0.03835,-0.02024,-0.009587,-2.913745,0.373649,10.135232,3.658,-0.001,0.0,1.0,-30.061862996,-51.175914958,31.6618
-0.039477,0.051428,0.992275,-0.10581,-0.035154,0.076699,0.026632,1.284419,-0.470654,9.134643,3.768,-0.001,0.0,1.0,-30.061863851,-51.175915008,31.6316
-0.039813,0.052502,0.992342,-0.104501,0.057524,-0.026632,0.011718,0.980829,-0.833525,10.291518,3.878,-0.001,0.0,1.0,-30.061864862,-51.175915085,31.6456
